Zeit,Platz 1,Platz 2,Platz 3,Platz 4
09:00,,,,
09:10,3,0,1,1
09:20,3,0,1,1
09:30,3,0,1,5
09:40,2,1,1,5
09:50,3,1,1,5
10:00,0,1,0,5
10:10,0,0,2,0
10:20,0,0,2,0
10:30,1,0,2,0
10:40,1,2,2,0
10:50,1,2,1,2
11:00,1,0,2,2
11:10,3,0,3,3
11:20,2,0,3,0
11:30,3,0,3,0
11:40,,,,
11:50,1,0,3,0
12:00,1,0,3,0
12:10,1,0,3,0
12:20,0,1,3,1
12:30,0,1,3,1
12:40,0,0,3,1
12:50,0,0,3,1
13:00,1,1,1,1
13:10,1,0,4,7
13:20,1,0,4,7
13:30,0,1,4,1
13:40,0,1,4,1
13:50,0,1,2,1
14:00,0,0,2,1
14:10,0,0,2,1
14:20,3,0,2,1
14:30,2,1,1,1
14:40,2,1,2,1
14:50,2,1,1,1
15:00,2,0,0,1
15:10,2,0,0,1
15:20,2,0,0,1
15:30,1,0,0,1
15:40,2,0,1,1
15:50,2,0,1,1
16:00,2,1,1,1
