Date,hh:mm:ss.ms,L-Max dB -A,LEQ dB -A,L-Min dB -A 	
2023/05/01,14:52:13.750,31.749184,32.249184,30.849184	
2023/05/01,14:52:14.250,31.349184,29.749184,29.749184	
2023/05/01,14:52:14.750,39.849184,37.849184,29.849184	
2023/05/01,14:52:15.250,60.149184,56.049184,37.749184	
2023/05/01,14:52:15.750,62.749184,58.249184,47.749184	
2023/05/01,14:52:16.250,59.149184,49.149184,44.249184	
2023/05/01,14:52:16.750,56.349184,52.349184,45.249184	
2023/05/01,14:52:17.250,68.549184,63.449184,51.049184	
2023/05/01,14:52:17.750,57.149184,34.049184,41.349184	
2023/05/01,14:52:18.250,41.049184,36.349184,36.549184	
2023/05/01,14:52:18.750,37.149184,35.649184,34.449184	
2023/05/01,14:52:19.250,36.149184,33.349184,31.849184	
2023/05/01,14:52:19.750,32.349184,32.049184,31.549184	
2023/05/01,14:52:20.250,81.249184,76.249184,65.349184	
2023/05/01,14:52:20.750,65.049184,31.949184,48.049184	
2023/05/01,14:52:21.250,47.649184,30.249184,34.049184	
2023/05/01,14:52:21.750,33.949184,32.549184,32.049184	
2023/05/01,14:52:22.250,87.149184,82.549184,33.149184	
2023/05/01,14:52:22.750,74.449184,36.549184,57.349184	
2023/05/01,14:52:23.250,57.049184,34.749184,40.849184	
2023/05/01,14:52:23.750,40.549184,30.949184,31.049184	
2023/05/01,14:52:24.250,30.949184,29.249184,29.149184	
2023/05/01,14:52:24.750,29.549184,29.249184,29.049184	
2023/05/01,14:52:25.250,32.149184,30.349184,29.049184	
2023/05/01,14:52:25.750,31.849184,29.649184,29.149184	
2023/05/01,14:52:26.250,32.449184,30.849184,29.049184	
2023/05/01,14:52:26.750,30.849184,29.349184,29.349184	
2023/05/01,14:52:27.250,31.749184,30.449184,29.149184	
2023/05/01,14:52:27.750,29.849184,29.249184,29.049184	
2023/05/01,14:52:28.250,29.549184,29.249184,29.049184	
2023/05/01,14:52:28.750,29.449184,29.049184,28.849184	
2023/05/01,14:52:29.250,29.249184,29.149184,29.049184	
2023/05/01,14:52:29.750,32.149184,30.849184,29.049184	
2023/05/01,14:52:30.250,31.049184,30.449184,29.749184	
2023/05/01,14:52:30.750,41.849184,37.349184,30.449184	
2023/05/01,14:52:31.250,31.849184,29.849184,29.649184	
